All Terms,FDY,UNDER G.,GRADUATE,"IT, DA, ETM, CYSEC, DT (Non Thesis)","EMBA, MART, PMBA, BA, MIM, MIF, MBA (Non-thesis)"
Deadline for Application to FENS Graduate and Management PhD Programs for the 2024-2025 Academic Year Fall Semester,,,07 Jun 2024,,
"Deadline for EARLY Application to IT, DA, ETM, CYSEC and DT Non-thesis Graduate Programs for the 2024-2025 Academic Year Fall Semester",,,,07 Jun 2024,
Deadline for Application to FASS Graduate Programs for the 2024-2025 Academic Year Fall Semester,,,07 Jun 2024,,
The Period for the Submission of External Language Proficiency Exam Results for Exemption from the Foundation Development Year and the English Language Assessment Exam,01 Jul - 10 Sep 2024,,,,
The Period for the Submission of External Language Proficiency Exam Results for Exemption from the Foundation Development Year and the English Language Assessment Exam (For International Students),01 Jul - 17 Sep 2024,,,,
"Deadline for EARLY Application to EMBA, MART, PMBA, BA, MIM, MIF and MBA Non-thesis Graduate Programs for the 2024-2025 Academic Year Fall Semester",,,,,08 Jul 2024
Deadline for Inter Institutional Transfer Applications,,12 Jul 2024,,,
TUITION FEE PAYMENT (for Newly-registered International Undergraduate Students),01 Aug - 06 Sep 2024,01 Aug - 06 Sep 2024,,,
"Deadline for Application to EMBA, PMBA, BA, MIM, MIF and MBA Non-thesis Graduate Programs for the 2024-2025 Academic Year Fall Semester",,,,,02 Aug 2024
"Deadline for Application to IT, DA, ETM, CYSEC and DT Non-thesis Graduate Programs for the 2024-2025 Academic Year Fall Semester",,,,09 Aug 2024,
Deadline for Transfer Applications to Undergraduate Programs within the Scope of Additional Article no:1,,15 Aug 2024,,,
UNIVERSITY REGISTRATION (for Undergraduate Students placed with YKS and all Graduate Students),19-23 Aug 2024,19-23 Aug 2024,04-06 Sep 2024,02-04 Sep 2024,02-04 Sep 2024
TUITION FEE PAYMENT (for Undergraduate Students placed with YKS and all Graduate Students including PGP Individual Payments),19-22 Aug 2024,19-22 Aug 2024,04-06 Sep 2024,11-12 Sep 2024,11-12 Sep 2024
Deadline for Application to MART Non-thesis Graduate Programs for the 2024-2025 Academic Year Fall Semester,,,,,20 Aug 2024
Deadline for Undergraduate Program Applications for International Students,,29 Aug 2024,,,
Victory Day (National Holiday),30 Aug 2024,30 Aug 2024,30 Aug 2024,30 Aug 2024,30 Aug 2024
"English Language Assessment Exam - Stage 1 (all New Undergraduates, On Leave Students)",02 Sep 2024,02 Sep 2024,,,
TUITION FEE PAYMENT (for enrolled students),03-05 Sep 2024,03-05 Sep 2024,04-06 Sep 2024,11-12 Sep 2024,11-12 Sep 2024
"English Language Assessment Exam - Stage 2 (all New Undergraduates, On Leave Students, Suspended, Summer school and Transfer Students)",04 Sep 2024,04 Sep 2024,,,
The Deadline for Special Student Applications,,06 Sep 2024,06 Sep 2024,06 Sep 2024,06 Sep 2024
TUITION FEE PAYMENT (By Company Payments for PGP),,,,09 Sep 2024,09 Sep 2024
UNIVERSITY REGISTRATION (for International Students accepted to Undergraduate Programs and İncoming Exchange Students),,09-20 Sep 2024,09-20 Sep 2024,,
REGISTRATION & TUITION FEE PAYMENT (for Inter Institutional Transfer Students in the scope of additional article no:1 or with GPA),,12-13 Sep 2024,,,
Preparatory Program For Science Of Nature (PreNS),,14-17 Sep 2024,,,
English Language Assessment Exam - Stage 1 (for International Students accepted to Undergraduate Programs),16 Sep 2024,16 Sep 2024,,,
English Language Assessment Exam - Stage 2 (for International Students accepted to Undergraduate Programs),17 Sep 2024,17 Sep 2024,,,
